code,code_np,level,des_pt,des_en,class
0-61.06,06106,4,Médico analista,,1980
0-61.08,06108,4,Médico anestesiologista,,1980
0-61.10,06110,4,Médico cardiologista,,1980
0-61.12,06112,4,Médico dermatoveneriologista,,1980
0-61.14,06114,4,Médico de doenças tropicais,,1980
0-61.16,06116,4,Médico endocrinologista,,1980
0-61.18,06118,4,Médico estomatologista,,1980
0-61.20,06120,4,Médico fisiatra,,1980
0-61.22,06122,4,Médico gastrenterologista,,1980
0-61.24,06124,4,Médico ginecologista,,1980
0-61.26,06126,4,Médico hemoterapeuta,,1980
0-61.28,06128,4,Médico hematologista,,1980
0-61.30,06130,4,Médico hidrologista,,1980
0-61.32,06132,4,Médico neurologista,,1980
0-61.34,06134,4,Médico nutricionista,,1980
0-61.36,06136,4,Médico obstetra,,1980
0-61.38,06138,4,Médico oftalmologista,,1980
0-61.40,06140,4,Médico otorrinolaringologista,,1980
0-61.42,06142,4,Médico anátomo-patologista,,1980
0-61.44,06144,4,Médico pediatra,,1980
0-61.46,06146,4,Médico pneumologista,,1980
0-61.48,06148,4,Médico pneumotisiologista,,1980
0-61.50,06150,4,Médico psiquiatra,,1980
0-61.52,06152,4,Médico radiologista,,1980
0-61.54,06154,4,Médico de saúde pública,,1980
0-61.56,06156,4,Médico do trabalho,,1980
0-61.58,06158,4,Médico urologista,,1980
0-61.60,06160,4,Médico cirurgião - cirurgia geral,,1980
0-61.62,06162,4,Médico cirurgião - especialista,,1980
0-61.90,06190,4,Outros médicos e cirurgiões,,1980
0-65,065,3,Veterinários,,1980
0-65.10,06510,4,Veterinário,,1980
0-65.90,06590,4,Outros veterinários,,1980
0-67,067,3,Farmacêuticos,,1980
0-67.10,06710,4,Farmacêutico,,1980
0-67.90,06790,4,Outros farmacêuticos,,1980
0-69,069,3,Dietistas e especialistas de nutrição,,1980
0-69.10,06910,4,Dietista,,1980
0-69.20,06920,4,Nutricionista,,1980
0-69.90,06990,4,Outros dietistas e especialistas de nutrição,,1980
0-7,07,2,"Médicos, veterinários, farmacêuticos, terapeutas, enfermeiros e técnicos similares (excepto os do subgrupo 0-6)",,1980
0-71,071,3,Enfermeiros,,1980
0-71.10,07110,4,Enfermeiro,,1980
0-71.90,07190,4,Outros enfermeiros,,1980
0-73,073,3,Parteiras,,1980
0-73.10,07310,4,Parteira,,1980
0-73.90,07390,4,Outras parteiras,,1980
0-75,075,3,Optometristas e técnicos de ortóptica,,1980
0-75.10,07510,4,Optometrista,,1980
0-75.20,07520,4,Técnico de ortóptica,,1980
0-75.90,07590,4,Outros optometristas e técnicos de ortóptica,,1980
0-76,076,3,Terapeutas,,1980
0-76.10,07610,4,Fisioterapeuta,,1980
0-76.20,07620,4,Terapeuta ocupacional,,1980
0-76.30,07630,4,Terapeuta da fala,,1980
0-76.40,07640,4,Massagista,,1980
0-76.90,07690,4,Outros terapeutas,,1980
0-77,077,3,Técnicos de radiologia médica,,1980
0-77.10,07710,4,Técnico de radioterapia,,1980
0-77.20,07720,4,Técnico de radiologia,,1980
0-77.90,07790,4,Outros técnicos de radiologia médica,,1980
0-78,078,3,Técnicos de cardiologia e de neurofisiologia,,1980
0-78.10,07810,4,Técnico de cardiologia,,1980
0-78.20,07820,4,Técnico de electroencefalografia,,1980
0-78.90,07890,4,Outros técnicos de cardiologia e neurofisiologia,,1980
0-79,079,3,Profissionais de saúde não classificados em outra parte,,1980
0-79.10,07910,4,Odontologista,,1980
0-79.20,07920,4,Audiometrista,,1980
0-79.30,07930,4,Técnico ortopédico,,1980
0-79.40,07940,4,Técnico pratipedista,,1980
0-79.50,07950,4,Técnico de função respiratória,,1980
0-79.90,07990,4,Outros profissionais de saúde não classificados em outra parte,,1980
0-8,08,2,"Estaticistas, matemáticos, analistas e programadores de informática e técnicos similares",,1980
0-81,081,3,Estaticistas,,1980
0-81.10,08110,4,Estaticista,,1980
0-81.90,08190,4,Outros estaticistas,,1980
0-82,082,3,Matemáticos e actuários,,1980
0-82.10,08210,4,Matemático - especialista em matemática pura,,1980
0-82.20,08220,4,Matemático - especialista em matemática aplicada,,1980
0-82.30,08230,4,Actuário,,1980
0-82.40,08240,4,Especialista em investigação operacional,,1980
0-82.90,08290,4,Outros matemáticos e actuários,,1980
0-83,083,3,Analistas de informática,,1980
0-83.10,08310,4,Analista de sistemas,,1980
0-83.90,08390,4,Outros analistas de informática,,1980
0-84,084,3,Técnicos das estatísticas e das matemáticas,,1980
0-84.10,08410,4,Programador de informática,,1980
0-84.20,08420,4,Programador mecanográfico,,1980
0-84.90,08490,4,Outros técnicos das estatísticas e das matemáticas,,1980
0-9,09,2,Economistas,,1980
0-90,090,3,Economistas,,1980
0-90.10,09010,4,Economista,,1980
0-90.20,09020,4,Especialista em estudos de mercado,,1980
0-90.90,09090,4,Outros economistas,,1980
1,1,1,"Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 0)",,1980
1-1,11,2,Contabilistas,,1980
1-10,110,3,Contabilistas,,1980
1-10.10,11010,4,Contabilista,,1980
1-10.20,11020,4,Auditor contabilista,,1980
1-10.90,11090,4,Outros contabilistas,,1980
1-2,12,2,Juristas,,1980
1-21,121,3,Advogados e conselheiros jurídicos,,1980
1-21.01,12101,4,"Jurista, em geral",,1980
1-21.10,12110,4,Advogado,,1980
1-21.20,12120,4,Agente do ministério público,,1980
1-21.90,12190,4,Outros advogados e conselheiros jurídicos,,1980
1-22,122,3,Magistrados judiciais,,1980
1-22.10,12210,4,Juíz,,1980
1-22.90,12290,4,Outros magistrados,,1980
1-29,129,3,Juristas não classificados em outra parte,,1980
1-29.10,12910,4,Notário,,1980
1-29.20,12920,4,Solicitador,,1980
1-29.90,12990,4,Outros juristas não classificados em outra parte,,1980
1-3,13,2,Pessoal docente e trabalhadores similares,,1980
1-31,131,3,Pessoal docente do ensino universitário e de estabelecimentos do ensino superior,,1980
1-31.10,13110,4,Professor universitário,,1980
1-31.90,13190,4,Outro pessoal docente do ensino universitário e de estabelecimentos do ensino superior,,1980
1-32,132,3,Pessoal docente do ensino secundario,,1980
1-32.10,13210,4,Professor do ensino secundário,,1980
1-32.20,13220,4,Professor de educação física,,1980
1-32.90,13290,4,Outro pessoal docente do ensino secundário,,1980
1-33,133,3,Pessoal docente do ensino primário,,1980
1-33.10,13310,4,Professor do ensino primário,,1980
1-33.90,13390,4,Outro pessoal docente do ensino primário,,1980
1-34,134,3,Pessoal docente do ensino pré-escolar,,1980
1-34.10,13410,4,Educador de infância,,1980
1-34.90,13490,4,Outro pessoal docente do ensino pré-escolar,,1980
1-35,135,3,Pessoal docente do ensino especial,,1980
1-35.10,13510,4,Professor de invisuais,,1980
1-35.20,13520,4,Professor de surdos,,1980
1-35.30,13530,4,Professor de crianças inadaptadas,,1980
1-35.90,13590,4,Outro pessoal docente do ensino especial,,1980
1-39,139,3,Pessoal docente e trabalhadores similares não classificados em outra parte,,1980
1-39.10,13910,4,Inspector do ensino,,1980
1-39.20,13920,4,Prefeito,,1980
1-39.30,13930,4,Monitor,,1980
1-39.40,13940,4,Técnico auxiliar de saúde escolar,,1980
1-39.50,13950,4,Orientador social,,1980
1-39.60,13960,4,Educador - estabelecimentos de recuperação de menores e/ou prisionais,,1980
1-39.90,13990,4,Outro pessoal docente e trabalhadores similares não classificados em outra parte,,1980
1-4,14,2,Ministros de culto e membros de ordens religiosas,,1980
1-41,141,3,Ministros e culto e membros de ordens religiosas,,1980
1-41.10,14110,4,Ministro de culto,,1980
1-41.20,14120,4,Missionário,,1980
1-41.30,14130,4,Membro de ordem religiosa,,1980
1-41.90,14190,4,Outros ministros do culto e membros de ordens religiosas,,1980
1-5,15,2,"Autores, jornalistas e escritores similares",,1980
1-51,151,3,Autores e críticos,,1980
1-51.10,15110,4,Escritor,,1980
1-51.20,15120,4,Crítico musical,,1980
1-51.30,15130,4,Crítico de artes plásticas,,1980
1-51.40,15140,4,Crítico de teatro,,1980
1-51.50,15150,4,Crítico de televisão,,1980
1-51.60,15160,4,Crítico literário,,1980
1-51.70,15170,4,Crítico de cinema,,1980
1-51.90,15190,4,Outros autores e críticos,,1980
1-59,159,3,"Autores, jornalistas e escritores similares não classificados em outra parte",,1980
1-59.05,15905,4,Chefe de redacção,,1980
1-59.10,15910,4,Redactor - jornais e revistas,,1980
1-59.15,15915,4,Repórter - jornais e revistas,,1980
1-59.20,15920,4,Jornalista - rádio e televisão,,1980
1-59.25,15925,4,Correspondente,,1980
1-59.30,15930,4,Redactor de anúncios publicitários,,1980
1-59.35,15935,4,Redactor - relações públicas,,1980
1-59.40,15940,4,Redactor técnico,,1980
1-59.45,15945,4,Editor,,1980
1-59.90,15990,4,"Outros autores, jornalistas e escritores similares não classificados em outra parte",,1980
1-6,16,2,"Escultores, pintores, fotógrafos e artistas criadores similares",,1980
1-61,161,3,"Escultores, pintores e artistas criadores similares",,1980
1-61.10,16110,4,Escultor,,1980
1-61.20,16120,4,Pintor de arte,,1980
1-61.30,16130,4,Desenhador humorístico,,1980
1-61.40,16140,4,Gravador de arte,,1980
1-61.50,16150,4,Restaurador de quadros,,1980
1-61.90,16190,4,"Outros escultores, pintores e artistas criadores similares",,1980
1-62,162,3,"Decoradores, expositores, desenhadores criadores de modelos e trabalhadores similares",,1980
1-62.05,16205,4,Decorador-criador de interiores,,1980
1-62.10,16210,4,Cenógrafo-projectista,,1980
1-62.15,16215,4,Maquinista teatral,,1980
1-62.20,16220,4,Cabo de varanda - teatros,,1980
1-62.25,16225,4,Figurinista,,1980
1-62.30,16230,4,Modelista - vestuário,,1980
1-62.35,16235,4,Modelador - calçado,,1980
1-62.40,16240,4,Expositor de montras,,1980
1-62.45,16245,4,Desenhador criador de produtos industriais,,1980
1-62.50,16250,4,Debuxador,,1980
1-62.90,16290,4,"Outros decoradores, expositores, desenhadores criadores de modelos e trabalhadores similares",,1980
1-63,163,3,Fotógrafos e operadores cinematográficos,,1980
1-63.10,16310,4,Fotógrafo,,1980
1-63.20,16320,4,Fotógrafo retratista,,1980
1-63.30,16330,4,Operador de estúdio - fotografia,,1980
1-63.40,16340,4,Repórter fotográfico,,1980
1-63.50,16350,4,Fotógrafo publicitário,,1980
1-63.60,16360,4,Fotógrafo ambulante,,1980
1-63.70,16370,4,Operador de imagem - cinema,,1980
1-63.80,16380,4,Operador de câmara - televisão,,1980
1-63.90,16390,4,Outros fotógrafos e operadores cinematográficos,,1980
1-69,169,3,"Escultores, pintores, fotógrafos e artistas criadores similares não classificados em outra parte",,1980
1-69.10,16910,4,Ilustrador,,1980
1-69.20,16920,4,Animador - cinema de animação,,1980
1-69.30,16930,4,Intercalador - cinema de animação,,1980
1-69.40,16940,4,Decalcador - cinema de animação,,1980
1-69.50,16950,4,Colorista - cinema de animação,,1980
1-69.60,16960,4,Cenarista - cinema de animação,,1980
1-69.90,16990,4,"Outros escultores, pintores, fotógrafos e artistas criadores similares não classificados em outra parte",,1980
1-7,17,2,"Músicos, bailarinos, actores, artistas de circo e tauromáquicos e trabalhadores similares",,1980
1-71,171,3,"Compositores, músicos e cantores",,1980
1-71.10,17110,4,Compositor musical,,1980
1-71.20,17120,4,Chefe de orquestra ou banda,,1980
1-71.30,17130,4,Regente de coro,,1980
1-71.40,17140,4,Instrumentista,,1980
1-71.50,17150,4,Cantor,,1980
1-71.90,17190,4,"Outros compositores, músicos e cantores",,1980
1-72,172,3,Coreógrafos e bailarinos,,1980
1-72.10,17210,4,Coreógrafo,,1980
1-72.20,17220,4,Bailarino,,1980
1-72.90,17290,4,Outros coreógrafos e bailarinos,,1980
1-73,173,3,"Actores , encenadores e realizadores",,1980
1-73.05,17305,4,Actor,,1980
1-73.10,17310,4,Encenador,,1980
1-73.15,17315,4,Realizador cinematográfico,,1980
1-73.20,17320,4,Realizador - televisão,,1980
1-73.25,17325,4,Realizador - rádio,,1980
1-73.30,17330,4,Assistente de realização,,1980
1-73.35,17335,4,Sonoplasta - teatro,,1980
1-73.40,17340,4,Anotador - televisão,,1980
1-73.45,17345,4,Anotador cinematográfico,,1980
1-73.90,17390,4,"Outros actores, encenadores e realizadores",,1980
1-74,174,3,"Directores de produção - teatro, cinema, rádio e televisão",,1980
1-74.10,17410,4,Produtor teatral,,1980
1-74.20,17420,4,Director de produção cinematográfica,,1980
1-74.30,17430,4,Director de produção - televisão e rádio,,1980
1-74.40,17440,4,Director de cena,,1980
1-74.50,17450,4,Chefe de produção cinematográfica,,1980
1-74.90,17490,4,"Outros produtores - teatro, cinema, rádio e televisão",,1980
1-75,175,3,Artistas de circo,,1980
1-75.10,17510,4,Palhaço,,1980
1-75.20,17520,4,Ilusionista,,1980
1-75.30,17530,4,Acrobata,,1980
1-75.40,17540,4,Trapezista,,1980
1-75.90,17590,4,Outros artistas de circo,,1980
1-76,176,3,Artistas tauromáquicos,,1980
1-76.10,17610,4,Matador de touros,,1980
1-76.20,17620,4,Cavaleiro tauromáquico,,1980
1-76.30,17630,4,Novilheiro,,1980
1-76.40,17640,4,Bandarilheiro,,1980
1-76.50,17650,4,Pegador de touros,,1980
1-76.90,17690,4,Outros artistas tauromáquicos,,1980
1-79,179,3,"Músicos, bailarinos, actores, artistas de circo e tauromáquicos e trabalhadores similares não classificados em outra parte",,1980
1-79.10,17910,4,Locutor,,1980
1-79.20,17920,4,Contra-regra,,1980
1-79.30,17930,4,Ponto,,1980
1-79.90,17990,4,"Outros músicos, bailarinos, actores, artistas de circo e tauromáquicos e trabalhadores similares não classificados em outra parte",,1980
1-8,18,2,"Desportistas profissionais, treinadores e trabalhadores similares",,1980
1-80,180,3,"Desportistas profissionais, treinadores e trabalhadores similares",,1980
1-80.01,18001,4,"Atleta profissional, em geral",,1980
1-80.05,18005,4,Jogador profissional de futebol,,1980
1-80.10,18010,4,Ciclista profissional,,1980
1-80.15,18015,4,Pugilista profissional,,1980
1-80.20,18020,4,Treinador desportivo,,1980
1-80.25,18025,4,Treinador de futebol,,1980
1-80.30,18030,4,Treinador de ciclismo,,1980
1-80.35,18035,4,Mestre de armas,,1980
1-80.40,18040,4,Treinador de natação,,1980
1-80.45,18045,4,Árbitro desportivo,,1980
1-80.50,18050,4,Árbitro de futebol,,1980
1-80.55,18055,4,Instrutor de educação física,,1980
1-80.60,18060,4,Professor de natação,,1980
1-80.65,18065,4,Mestre de equitação,,1980
1-80.70,18070,4,Instrutor de golfe,,1980
1-80.75,18075,4,Secretário de clube de golfe,,1980
1-80.80,18080,4,Caddie master,,1980
1-80.85,18085,4,Caddie,,1980
1-80.90,18090,4,"Outros desportistas profissionais, treinadores e trabalhadores similares",,1980
1-9,19,2,"Pessoal de profissões científicas, técnicas, artísticas e de profissões similares não classificado em outra parte",,1980
1-91,191,3,"Bibliotecários, arquivistas, conservadores de museus e trabalhadores similares",,1980
1-91.10,19110,4,Bibliotecário,,1980
1-91.20,19120,4,Arquivista,,1980
1-91.30,19130,4,Conservador de bibliotecas e arquivos,,1980
1-91.40,19140,4,Conservador de museus,,1980
1-91.50,19150,4,Documentalista,,1980
1-91.60,19160,4,Discotecário,,1980
1-91.70,19170,4,Cinematecário,,1980
1-91.90,19190,4,"Outros bibliotecários, arquivistas, conservadores de museus e trabalhadores similares",,1980
1-92,192,3,"Sociólogos, psicólogos, antropólogos e especialistas similares",,1980
1-92.10,19210,4,Sociólogo,,1980
1-92.20,19220,4,Psicólogo,,1980
1-92.30,19230,4,Antropólogo,,1980
1-92.40,19240,4,Etnógrafo,,1980
1-92.50,19250,4,Geógrafo,,1980
1-92.60,19260,4,Historiador,,1980
1-92.70,19270,4,Especialista das ciências políticas,,1980
1-92.90,19290,4,"Outros sociólogos, psicólogos, antropólogos e especialistas similares",,1980
1-93,193,3,Trabalhadores sociais,,1980
1-93.10,19310,4,Técnico de serviço social,,1980
1-93.20,19320,4,Educador social,,1980
1-93.30,19330,4,Técnico auxiliar do serviço social,,1980
1-93.40,19340,4,Agente de formação familiar,,1980
1-93.50,19350,4,Agente de animação rural,,1980
1-93.60,19360,4,Ajudante de actividades de tempos livres,,1980
1-93.90,19390,4,Outros trabalhadores sociais,,1980
1-94,194,3,Técnicos em assuntos de pessoal e informação profissional,,1980
1-94.10,19410,4,Conselheiro de orientação profissional,,1980
1-94.20,19420,4,Técnico de emprego,,1980
1-94.30,19430,4,Técnico de estudos de profissões,,1980
1-94.40,19440,4,Analista de profissões,,1980
1-94.90,19490,4,Outros técnicos em assuntos de pessoal e informação profissional,,1980
1-95,195,3,"Filólogos, tradutores e intérpretes",,1980
1-95.10,19510,4,Filólogo,,1980
1-95.20,19520,4,Tradutor,,1980
1-95.30,19530,4,Intérprete,,1980
